,page,startDate,endDate,name,url,addressCountry,addressLocality,addressRegion,streetAddress,postalCode,latitude,longitude,locationName
0,5,2023-06-09,2023-06-09,Dizney in Drag: Once Upon a Parody,https://www.eventbrite.com/e/dizney-in-drag-once-upon-a-parody-tickets-643761165977,DE,Berlin,BE,Möckernstrasse 10,10963,52.50162599999999,13.381228,Tempodrom Berlin
1,5,2023-06-09,2023-06-09,SHABBY LATESHOW! Stand up Comedy im Mad Monkey Room (22:30 Uhr),https://www.eventbrite.de/e/shabby-lateshow-stand-up-comedy-im-mad-monkey-room-2230-uhr-tickets-490947135097,DE,Berlin,Berlin,Danziger Str. 1,10435,52.54172089999999,13.4121977,Mad Monkey Room
2,5,2023-06-23,2023-06-23,Comedy In English: Two Jews Comedy Show Berlin! June 23,https://www.eventbrite.com/e/comedy-in-english-two-jews-comedy-show-berlin-june-23-tickets-637350080247,DE,Berlin,BE,Grünberger Straße 84,10245,52.5109095,13.4613414,The Wall Comedy
3,5,2023-06-17,2023-06-18,BOLLYWOOD NIGHT - BERLIN,https://www.eventbrite.de/e/bollywood-night-berlin-tickets-648988591347,DE,Berlin,BE,Seddiner Straße 8,10315,52.5136117,13.5219524,37 CLUB
4,5,2023-06-09,2023-06-10,7. Rare Disease Symposium,https://www.eventbrite.de/e/7-rare-disease-symposium-tickets-564418881067,DE,Berlin,D,Scharnhorststraße 3,10115,52.5319499,13.3731065,STORZ Besucher- und Informationszentrum
5,5,2023-06-09,2023-06-10,STAGETIME - Songwriter Night,https://www.eventbrite.de/e/stagetime-songwriter-night-tickets-498642050797,DE,Berlin,BE,Müggelstraße 9,10247,52.51201479999999,13.470691,Bar Bobu
6,5,2023-10-20,2023-10-21,Thomas Lizzara Birthday @ Kesselhaus Berlin,https://www.eventbrite.de/e/thomas-lizzara-birthday-kesselhaus-berlin-tickets-600798924757,DE,Berlin,BE,Knaackstraße 97,10435,52.53938560000001,13.4137106,Kesselhaus in der Kulturbrauerei
7,5,2023-07-01,2023-07-02,Erasmus Summer Festival - Open Air & Indoor Party,https://www.eventbrite.de/e/erasmus-summer-festival-open-air-indoor-party-tickets-646841138257,DE,Berlin,BE,Alexanderstraße 40,10179,52.51682909999999,13.4178901,The Social Hub Berlin
8,5,2023-06-09,2023-06-09,Benefizkonzert für die Ukraine,https://www.eventbrite.de/e/benefizkonzert-fur-die-ukraine-tickets-640178098927,DE,Berlin,BE,Frankfurter Allee 6a,10247,52.5147888,13.4559542,Georg-Friedrich-Händel-Gymnasium
9,5,2023-06-16,2023-06-16,Tantra für Beginner 2.0| Berlin Edition,https://www.eventbrite.de/e/tantra-fur-beginner-20-berlin-edition-tickets-619959444387,DE,Berlin,BE,Lübbener Straße 9,10997,52.499031,13.4374856,Kundalini Yoga Kreuzberg - Kreuzbergyoga Studio
10,5,2023-06-12,2023-06-12,KI im Gesundheitswesen: Alles wird gut…wird alles gut?,https://www.eventbrite.de/e/ki-im-gesundheitswesen-alles-wird-gutwird-alles-gut-tickets-632339704077,DE,Berlin,BE,Am Hamburger Bahnhof 4,10557,52.5294445,13.3714956,REINHARD BÄR restaurant und café
11,5,2023-06-10,2023-06-10,English Stand Up - Culture Shock  - Asian Invasion #5,https://www.eventbrite.co.uk/e/english-stand-up-culture-shock-asian-invasion-5-tickets-625141975477,DE,Berlin,BE,Bergstraße 2,10115,52.5294848,13.3956931,Z-Bar
12,5,2023-06-14,2023-06-14,Medizin der Zukunft,https://www.eventbrite.de/e/medizin-der-zukunft-tickets-632608086817,DE,Berlin,BE,Hohenzollerndamm 208a,10717,52.4944648,13.3293486,Eventlocation Wasserwerk
13,5,2023-06-30,2023-06-30,Transformational Breathwork,https://www.eventbrite.com/e/transformational-breathwork-tickets-512903045817,DE,Berlin,Berlin,Böttgerstraße 16,13357,52.5487872,13.380952900000011,YOGA at Lobe Block UG i.g.
14,5,2023-06-10,2023-06-11,Abriss Party,https://www.eventbrite.com/e/abriss-party-tickets-634556013117,DE,Berlin,BE,Stadtbahnbogen 159/160,10178,52.5222181,13.3984601,Mokka Mitte Bar
15,5,2023-11-02,2023-11-02,Tech Jobs Fair - Berlin 2023,https://www.eventbrite.com/e/tech-jobs-fair-berlin-2023-tickets-491695844507,DE,Berlin,BE,Mariendorfer Damm 1,12099,52.45314,13.38517,The Drivery GmbH
16,5,2023-06-15,2023-06-15,IMA Europe Berlin Event,https://www.eventbrite.co.uk/e/ima-europe-berlin-event-tickets-607442265167,DE,Berlin,BE,Invalidenstraße 3,10115,52.5331269,13.3972411,Villa Elisabeth
17,5,2023-06-17,2023-06-18,Team 80s • 80s Pop Disco // New Wave // NDW // Indie • Astra Berlin,https://www.eventbrite.co.uk/e/team-80s-80s-pop-disco-new-wave-ndw-indie-astra-berlin-tickets-604903411387,DE,Berlin,BE,Revaler Straße 99,10245,52.5076937,13.4519072,Astra Kulturhaus
18,5,2023-06-08,2023-06-08,Clouding it Up with Guest Comedians,https://www.eventbrite.com/e/clouding-it-up-with-guest-comedians-tickets-633901365047,DE,Berlin,BE,Donaustraße 112,12043,52.4831996,13.4341756,Valentin Stüberl
19,5,2023-06-09,2023-06-09,Weitersagen! singt Westernhagen,https://www.eventbrite.de/e/weitersagen-singt-westernhagen-tickets-572908664237,DE,Berlin,Berlin,Am Juliusturm 62,13599,52.5397012,13.2165944,Freilichtbühne an der Zitadelle
