,page,startDate,endDate,name,url,addressCountry,addressLocality,addressRegion,streetAddress,postalCode,latitude,longitude,locationName
0,34,2023-06-29,2023-06-29,Innovation im zirkulären Wirtschaften: Das Haus der Materialisierung,https://www.eventbrite.de/e/innovation-im-zirkularen-wirtschaften-das-haus-der-materialisierung-tickets-637925170357,DE,Berlin,BE,Berolinastraße,10178,52.52336599999999,13.4202705,Haus der Materialisierung
1,34,2023-06-07,2023-06-07,CAMPUS MARZAHN: Coworking Day Pass - MotionLab.Berlin,https://www.eventbrite.de/e/campus-marzahn-coworking-day-pass-motionlabberlin-registration-636481753057,DE,Berlin,BE,Schwarze-Pumpe-Weg 16,12681,52.5486003,13.5331698,MotionLab.Berlin | Marzahn
2,34,2023-06-06,2023-06-07,rock the church now,https://www.eventbrite.com/e/rock-the-church-now-tickets-628685935557,DE,Berlin,BE,Kaiser-Wilhelm-Straße 29,12247,52.4314717,13.3377024,PVIEW Billard & Events
3,34,2023-06-27,2023-06-28,Aftershow Party Max Delbrück Gymnasium 2023,https://www.eventbrite.de/e/aftershow-party-max-delbruck-gymnasium-2023-tickets-639362168457,DE,Berlin,Berlin,Wiebestr. 42,10553,52.52798,13.31894,Loewe Saal
4,34,2023-06-30,2023-06-30,Introduction to Automotive Cybersecurity Regulation and Standards,https://www.eventbrite.de/e/introduction-to-automotive-cybersecurity-regulation-and-standards-tickets-648752575417,DE,Berlin,,Mariendorfer Damm 1,12099,52.45360789999999,13.384797100000014,The Drivery
5,34,2023-06-16,2023-06-16,Buch-Upcycling: Stimmungsvolle Leuchten aus Büchern,https://www.eventbrite.de/e/buch-upcycling-stimmungsvolle-leuchten-aus-buchern-tickets-562148269607,DE,Berlin,,Auguste-Viktoria-Allee 99,13403,52.5688812,13.327874,NochMall
6,34,2023-06-22,2023-06-22,Bridge Markland: nathan in the box,https://www.eventbrite.de/e/bridge-markland-nathan-in-the-box-tickets-558796634777,DE,Berlin,Berlin,Caligariplatz 1,13086,52.5526134,13.430481800000052,Brotfabrik
7,34,2023-06-20,2023-06-20,Wine & Cheese Pairing in English (Berlin),https://www.eventbrite.com/e/wine-cheese-pairing-in-english-berlin-tickets-638615254417,DE,Berlin,BE,Sredzkistraße 36,10435,52.5381234,13.4182109,FIND YOUR WINE MATCH
8,34,2023-06-21,2023-06-21,Aurora vol. II. Memory Jars with  Sujatro Ghosh,https://www.eventbrite.co.uk/e/aurora-vol-ii-memory-jars-with-sujatro-ghosh-tickets-625099347977,DE,Berlin,BE,Donaustraße 84,12043,52.4790678,13.44168,TIER - The Institute for Endotic Research
9,34,2023-06-10,2023-06-10,Mindfulness in the midst of stress,https://www.eventbrite.de/e/mindfulness-in-the-midst-of-stress-tickets-637411162947,DE,Berlin,BE,Mahlower Straße 5,12049,52.4800724,13.4237676,raum 5- Praxis für Körperarbeit
10,34,2023-06-26,2023-06-27,Aftershow Party Paul Natorp Gymnasium 2023,https://www.eventbrite.de/e/aftershow-party-paul-natorp-gymnasium-2023-tickets-639366100217,DE,Berlin,Berlin,Wiebestr. 42,10553,52.52798,13.31894,Loewe Saal
11,34,2023-06-22,2023-06-22,RIP THAT RIFF _ Stand Up and Improv Comedy Extravaganza,https://www.eventbrite.de/e/rip-that-riff-stand-up-and-improv-comedy-extravaganza-tickets-635859933177,DE,Berlin,BE,Bergstraße 2,10115,52.5294848,13.3956931,Z-Bar
