,page,startDate,endDate,name,url,addressCountry,addressLocality,addressRegion,streetAddress,postalCode,latitude,longitude,locationName
0,43,2023-06-10,2023-06-10,comfort zone challenges'berlin #64,https://www.eventbrite.at/e/comfort-zone-challengesberlin-64-tickets-649762987587,DE,Berlin,BE,Pariser Platz,10117,52.5163856,13.3788363,Brandenburger Tor
1,43,2023-06-27,2023-06-27,"Navigating climate change with grief, hope  & humor w/ author Andrew Boyd",https://www.eventbrite.com/e/navigating-climate-change-with-grief-hope-humor-w-author-andrew-boyd-tickets-641347616987,DE,Berlin,CT,Prenzlauer allee 214,10405,52.5359162,13.4218831,Shepard momentum residence
2,43,2023-06-07,2023-06-07,Philipp Eisenblätter,https://www.eventbrite.de/e/philipp-eisenblatter-tickets-547410518597,DE,Berlin,BE,Kaiser-Friedrich-Straße 67,10627,52.509285,13.30231,ART Stalker - Kunst + Bar + Events
3,43,2023-06-29,2023-06-29,Armin L. Rau Social Friday mit LinkedIn Top Manager Marc Oliver Nissen,https://www.eventbrite.de/e/armin-l-rau-social-friday-mit-linkedin-top-manager-marc-oliver-nissen-tickets-632580243537,DE,Berlin,BE,Mohrenstraße 30,10117,52.51189979999999,13.3928119,Berlin Capital Club
4,43,2023-06-22,2023-06-22,WeBar | WeRoad erzählt von seinen Reisen und vom Travel Coordinator Leben,https://www.eventbrite.com/e/webar-weroad-erzahlt-von-seinen-reisen-und-vom-travel-coordinator-leben-tickets-622763340917,DE,Berlin,Berlin,TBD,TBD,52.532614,13.3777035,Berlin Mitte
5,43,2023-06-17,2023-06-17,„Experten bewerten“ in Berlin Lichterfelde,https://www.eventbrite.de/e/experten-bewerten-in-berlin-lichterfelde-tickets-645895690397,DE,Berlin,BE,Ostpreußendamm 84A,12207,52.4163447,13.3039509,Ostpreußendamm 84A
6,43,2023-06-08,2023-06-08,Launch event: Mizter Rad Show,https://www.eventbrite.co.uk/e/launch-event-mizter-rad-show-tickets-650650281507,DE,Berlin,BE,Uhlandstraße 32,10719,52.5005459,13.3247957,Mindspace Kurfürstendamm
7,43,2023-06-15,2023-06-15,INNOVATIONSTAG MITTELSTAND 2023,https://www.eventbrite.com/e/innovationstag-mittelstand-2023-tickets-650607453407,DE,Berlin,BE,Tschaikowskistraße 49,13156,52.575391,13.3952207,Freigelände
8,43,2023-06-10,2023-06-10,Off Road Collective Launch Event,https://www.eventbrite.com/e/off-road-collective-launch-event-tickets-646340490807,DE,Berlin,BE,Martin-Luther-Straße 77,10825,52.48818719999999,13.3457155,Martin-Luther-Str. 77
9,43,2023-06-20,2023-06-30,travel the world,https://www.eventbrite.ca/e/travel-the-world-tickets-633273677617,DE,"BERLIN,SCHEUNENVIERTEL",SCHEUNENVIERTEL,germany,23323,52.52608189999999,13.411214,germany Berlin city
10,43,2023-06-14,2023-06-14,Sorry Not Sorry Comedy / P-Berg,https://www.eventbrite.com/e/sorry-not-sorry-comedy-p-berg-tickets-646059179397,DE,Berlin,BE,Stargarder Straße 33,10437,52.5436533,13.4244142,La Minga
11,43,2023-06-11,2023-06-11,Sorry Not Sorry Comedy - Outdoors Show,https://www.eventbrite.com/e/sorry-not-sorry-comedy-outdoors-show-tickets-645416798017,DE,Berlin,BE,Badstraße 38-39,13357,52.5534116,13.3787307,BLACK WEDDING BAR
12,43,2023-06-20,2023-06-20,Masi Imbizo: Exploring the Church's Role in Social Justice & Transformation,https://www.eventbrite.com/e/masi-imbizo-exploring-the-churchs-role-in-social-justice-transformation-tickets-648790067557,DE,Berlin,BE,Wilhelmshavener Straße 4,10551,52.5279285,13.3415338,Wilhelmshavener Str. 4
13,43,2023-06-21,2023-06-21,CAJADO / SCHMOLLING / FISCHERLEHNER FEAT. CAMILA NEBBIA // #PANDAjazz,https://www.eventbrite.de/e/cajado-schmolling-fischerlehner-feat-camila-nebbia-pandajazz-tickets-641412290427,DE,Berlin,,Knaackstraße 97,10435,52.5398461,13.4132841,PANDA Platforma
