,page,startDate,endDate,name,url,addressCountry,addressLocality,addressRegion,streetAddress,postalCode,latitude,longitude,locationName
0,23,2023-06-23,2023-06-24,Working with Wood - A Beginners' Workshop,https://www.eventbrite.de/e/working-with-wood-a-beginners-workshop-tickets-633159867207,DE,Berlin,,Bouchéstraße 12,12435,52.49304,13.4506147,Woodwork Academy
1,23,2023-06-11,2023-06-11,Learn how to dance (Kizomba) and meet new people,https://www.eventbrite.de/e/learn-how-to-dance-kizomba-and-meet-new-people-tickets-631997861617,DE,Berlin,BE,Inselstraße 9,10179,52.51225909999999,13.4118726,Danceschool
2,23,2023-06-10,2023-06-10,Tennis Coaching : Saturday Morning / Afternoon,https://www.eventbrite.de/e/tennis-coaching-saturday-morning-afternoon-tickets-613330356607,DE,Berlin,BE,Columbiadamm 111,10965,52.4829198,13.4077195,Turngemeinde in Berlin (TiB)
3,23,2023-06-15,2023-06-15,Nikolai Medvedev,https://www.eventbrite.de/e/nikolai-medvedev-tickets-642518479067,DE,Berlin,BE,Böttgerstraße 16,13357,52.5489432,13.3809334,Lobe Block GmbH & Co.KG
4,23,2023-06-20,2023-06-21,Aftershow Party Felix Mendelssohn Bartholdy Gymnasium 2023,https://www.eventbrite.de/e/aftershow-party-felix-mendelssohn-bartholdy-gymnasium-2023-tickets-639348517627,DE,Berlin,Berlin,Wiebestr. 42,10553,52.52798,13.31894,Loewe Saal
5,23,2023-06-30,2023-06-30,Goerzwerk-Führung,https://www.eventbrite.de/e/goerzwerk-fuhrung-tickets-513082352127,DE,Berlin,BE,Goerzallee 299,14167,52.41240690000001,13.2776794,GOERZWERK
6,23,2023-06-10,2023-06-10,Urban Foraging & Ecology Walk with Edible Alchemy,https://www.eventbrite.de/e/urban-foraging-ecology-walk-with-edible-alchemy-tickets-632212152567,DE,Berlin,Berlin,Moosdorfstraße,12435,52.4880182,13.4605024,Edible Alchemy
7,23,2023-06-17,2023-06-17,Transform Your Health: Join Our Yoga and Ayurveda Workshop Today!,https://www.eventbrite.de/e/transform-your-health-join-our-yoga-and-ayurveda-workshop-today-tickets-633106096377,DE,Berlin,BE,Waldenserstraße 2-4,10551,52.5290408,13.337434,Veda Naturals GmbH
8,23,2023-06-07,2023-06-08,Sommer Sommer Wednesday Afterwork Open Air 18 - 04 Uhr,https://www.eventbrite.com/e/sommer-sommer-wednesday-afterwork-open-air-18-04-uhr-tickets-647277784277,DE,Berlin,BE,Köpenicker Straße 18-20,10997,52.5056659,13.4326195,SAGE Berlin
9,23,2023-06-15,2023-06-15,Baguette Comedy Club : Stand up et Karaoké,https://www.eventbrite.de/e/billets-baguette-comedy-club-stand-up-et-karaoke-646255356167,DE,Berlin,BE,Kufürstendstrasse 9,10785,52.4993193,13.3674465,Kara Kas Bar
10,23,2023-06-10,2023-06-10,LOCAL HEROES - Berlin Qualifikation 2023,https://www.eventbrite.de/e/local-heroes-berlin-qualifikation-2023-tickets-616530518377,DE,Berlin,BE,Danziger Straße 105,10405,52.5379263,13.4311712,Wabe
11,23,2023-06-11,2023-06-11,Mayan Cacao Ceremony & Sing Circle,https://www.eventbrite.de/e/mayan-cacao-ceremony-sing-circle-tickets-637267262537,DE,Berlin,BE,Transvaalstraße 160,13351,52.55004709999999,13.3384068,Volkspark Rehberge
12,23,2023-07-06,2023-07-06,Cashflow Spieleabend in Berlin-Moabit,https://www.eventbrite.de/e/cashflow-spieleabend-in-berlin-moabit-tickets-620569288447,DE,Berlin,Berlin,Bochumer Straße 22,10555,52.5242105,13.3383028,Wow Space | Coworking in Berlin
13,23,2023-06-08,2023-06-08,SUMMER of'89  film screening + DISCUSSION,https://www.eventbrite.de/e/summer-of89-film-screening-discussion-tickets-643299394807,DE,Berlin,BE,Otto-Braun-Straße,10178,52.52332,13.41904,Otto-Braun-Straße 70-72 Block of Containers OTTO
14,23,2023-06-15,2023-06-15,SELBSTERMÄCHTIGUNGS-ZEREMONIE im Kreis der Frauen,https://www.eventbrite.de/e/selbstermachtigungs-zeremonie-im-kreis-der-frauen-tickets-483318537757,DE,Berlin,BE,Dircksenstr.51,10179,52.52331160000001,13.4038077,Praxis Kerstin Wietusch                              direkt am Hackeschen Markt
15,23,2023-06-10,2023-06-10,CAPO DAY - BOTTEGA ALIMENTARE PORTAMI VIA,https://www.eventbrite.de/e/capo-day-bottega-alimentare-portami-via-tickets-644335634227,DE,Berlin,BE,Fromet-und-Moses-Mendelssohn-Platz 2,10969,52.50360949999999,13.3932427,Bottega Alimentare Portamivia
16,23,2023-06-24,2023-06-25,Millennium Summer Vibes - Indoor & Open Air am Pool,https://www.eventbrite.de/e/millennium-summer-vibes-indoor-open-air-am-pool-tickets-648200072867,DE,Berlin,BE,Revaler Straße 99,10245,52.507211,13.452693,Haubentaucher
17,23,2023-06-24,2023-06-25,"Aigoo Music K-Pop Party - Summer Edition Berlin / Saturday, 24.06.2023",https://www.eventbrite.com/e/aigoo-music-k-pop-party-summer-edition-berlin-saturday-24062023-tickets-643791767507,DE,Berlin,BE,Alexanderstraße 7,10178,52.52328979999999,13.4164776,ASeven Club
18,23,2023-06-08,2023-06-09,Berlin Tanzt!,https://www.eventbrite.de/e/berlin-tanzt-tickets-412815200377,DE,Berlin,BE,Joachimsthaler Straße 15,10719,52.5020624,13.3308349,MAXXIM CLUB BERLIN
19,23,2023-08-05,2023-08-05,Magic of Queen,https://www.eventbrite.de/e/magic-of-queen-tickets-527126839567,DE,Berlin,Berlin,Am Juliusturm 62,13599,52.5397012,13.2165944,Freilichtbühne an der Zitadelle
