,page,startDate,endDate,name,url,addressCountry,addressLocality,addressRegion,streetAddress,postalCode,latitude,longitude,locationName
0,8,2023-06-07,2023-06-07,CleanMed Berlin,https://www.eventbrite.com/e/cleanmed-berlin-tickets-558578151287,DE,Berlin,BE,Luisenstraße 58/59,10117,52.5258225,13.3794205,Langenbeck-Virchow-Haus
1,8,2023-06-24,2023-06-24,Open House | Berlin School of Popular Arts (SRH Berlin),https://www.eventbrite.de/e/open-house-berlin-school-of-popular-arts-srh-berlin-tickets-609280844407,DE,Berlin,BE,Potsdamer Straße 188,10783,52.4916422,13.3605242,SRH Berlin School of Popular Arts (SOPA)
2,8,2023-06-10,2023-06-10,La comunidad organizada: la voz de las familias,https://www.eventbrite.de/e/entradas-la-comunidad-organizada-la-voz-de-las-familias-624432192497,DE,Berlin,BE,Rosenstraße 18,10178,52.52165989999999,13.404826,Instituto Cervantes Berlin - Das spanische Kulturinstitut
3,8,2023-06-06,2023-06-06,Tuesday stand up Comedy It's a mic,https://www.eventbrite.com/e/tuesday-stand-up-comedy-its-a-mic-tickets-631206925907,DE,Berlin,BE,Grünberger Straße 84,10245,52.5109095,13.4613414,The Wall Comedy
4,8,2023-06-25,2023-06-25,Desi Democracy - Hindi Comedy Show,https://www.eventbrite.de/e/desi-democracy-hindi-comedy-show-tickets-515901704887,DE,Berlin,BE,Torstraße 218,10115,52.5274009,13.3894661,Galerie & Bar Tor218 Artlab
5,8,2023-06-08,2023-06-08,D&AD Shift Germany Graduate Showcase Private View,https://www.eventbrite.co.uk/e/dad-shift-germany-graduate-showcase-private-view-tickets-621624474537,DE,Berlin,BE,Glogauer Straße 2,10999,52.4947542,13.4377039,"Friends Space @ Glogauer Straße 2 Backyard, 10999 Berlin (Kreuzberg)"
6,8,2023-06-16,2023-06-17,King Kong Kicks + Peinlo Pop Party • Badehaus Berlin,https://www.eventbrite.co.uk/e/king-kong-kicks-peinlo-pop-party-badehaus-berlin-tickets-604887353357,DE,Berlin,BE,Revaler Str. 99,10245,52.5071701,13.4529196,Badehaus Berlin
7,8,2023-06-06,2023-06-07,Adtrader Conference 2023,https://www.eventbrite.de/e/adtrader-conference-2023-tickets-472098277657,DE,Berlin,BE,Karl-Marx-Allee 131A,10243,52.51692500000001,13.4498899,Kosmos
8,8,2023-06-08,2023-06-08,Summer Session am Potsdamer Platz,https://www.eventbrite.de/e/summer-session-am-potsdamer-platz-tickets-641174679727,DE,Berlin,BE,Alte Potsdamer Straße 7,10785,52.5075315,13.3736933,Manifesto Market Potsdamer Platz
9,8,2023-06-24,2023-06-24,Open House | Berlin School of Design and Communication (SRH Berlin),https://www.eventbrite.de/e/open-house-berlin-school-of-design-and-communication-srh-berlin-tickets-608620589567,DE,Berlin,BE,Prinzenstraße 84.1,10969,52.5037366,13.4097239,SRH Berlin School of Design and Communication (BSDC)
10,8,2023-06-06,2023-06-06,Стендап шоу: Открытый Женский Микрофон,https://www.eventbrite.de/e/640047247547,DE,Berlin,BE,Kopenhagener Str. 16,10437,52.5491492,13.4085405,Kohlenquelle
11,8,2023-06-17,2023-06-17,In Person Event: Women's Data Day,https://www.eventbrite.de/e/in-person-event-womens-data-day-tickets-622413805447,DE,Berlin,BE,Rudi-Dutschke-Straße 26,10969,52.50689269999999,13.3914371,Le Wagon Berlin - Coding Bootcamp
12,8,2023-06-26,2023-06-26,Conscious Cuddling and Authentic Relating Workshop,https://www.eventbrite.de/e/conscious-cuddling-and-authentic-relating-workshop-tickets-636639384537,DE,Berlin,Berlin,Milastraße 4,10437,52.54552169999999,13.4108101,Life Artists Creators Hub
13,8,2023-06-17,2023-06-17,DEVIN GRAY SOLO + TRYON - LÄUTERUNG,https://www.eventbrite.de/e/devin-gray-solo-tryon-lauterung-tickets-614973461177,DE,Berlin,BE,Revaler Straße 99,10245,52.50670330000001,13.4535486,House of Music
14,8,2023-06-10,2023-06-10,Do you know these gays? 10.06.2023 Saturday edition!,https://www.eventbrite.de/e/do-you-know-these-gays-10062023-saturday-edition-tickets-642787142647,DE,Berlin,BE,Ziegelstraße 29,10117,52.52364069999999,13.3906125,BAR SAINT JEAN
15,8,2023-06-14,2023-06-14,"Exclusive Screening of documentary ""We're All Going to Die"" by Ben Knight",https://www.eventbrite.de/e/exclusive-screening-of-documentary-were-all-going-to-die-by-ben-knight-tickets-633921254537,DE,Berlin,BE,Kottbusser Damm 22,10178,52.49024,13.42342,"Moviemento Kino, Cinema 2"
16,8,2023-06-13,2023-06-13,"Vision Dance, Conscious Dance, Ecstatic Dance",https://www.eventbrite.de/e/vision-dance-conscious-dance-ecstatic-dance-tickets-507613233847,DE,Berlin,BE,Moosdorfstraße 7-9,12435,52.4880179,13.4604972,Urban Healing Unit
17,8,2023-06-11,2023-06-11,GRAND OPENING - 11.06.2023,https://www.eventbrite.de/e/grand-opening-11062023-tickets-624290568897,DE,Berlin,,Pfuelstraße 5,10997,52.502697,13.4403954,Tanzschule Bebop
18,8,2023-06-14,2023-06-14,Berlin Travel Massive Mingle - Meet Berlin Creators,https://www.eventbrite.com/e/berlin-travel-massive-mingle-meet-berlin-creators-tickets-641390114097,DE,Berlin,BE,Alte Schönhauser Straße 2,10119,52.528586,13.4091013,Selina Berlin Mitte
19,8,2023-06-23,2023-06-24,ZEITMASCHINE 80s 90s 2000s,https://www.eventbrite.de/e/zeitmaschine-80s-90s-2000s-tickets-600645255127,DE,Berlin,Berlin,Alexanderstraße 7,10178,52.5232964,13.41646209999999,ASeven Club
