,page,startDate,endDate,name,url,addressCountry,addressLocality,addressRegion,streetAddress,postalCode,latitude,longitude,locationName
0,18,2023-06-13,2023-06-13,Ratzeputz Comedy Nights,https://www.eventbrite.ie/e/ratzeputz-comedy-nights-tickets-621124569307,DE,Berlin,Berlin,Weserstr. 182,12045,52.4855227,13.4372134,Ratzeputz
1,18,2023-07-09,2023-07-09,Breathwork and Cacao Ceremony · 藥 ·,https://www.eventbrite.com/e/breathwork-and-cacao-ceremony-tickets-608646928347,DE,Berlin,BE,Tieckstrasse 35,10115,52.52929899999999,13.3871665,Zen rooftop MITTE
2,18,2023-06-07,2023-06-07,Kiez Comedy Standup Open Mic,https://www.eventbrite.com/e/kiez-comedy-standup-open-mic-tickets-645321011517,DE,Berlin,Berlin,Wühlischstraße 43,10245,52.5086018,13.4609989,Süss War Gestern
3,18,2023-07-22,2023-07-22,Berlin Beat Club,https://www.eventbrite.de/e/berlin-beat-club-tickets-609529407867,DE,Berlin,Berlin,Am Juliusturm 62,13599,52.5397012,13.2165944,Freilichtbühne an der Zitadelle
4,18,2023-06-15,2023-06-15,Get in Shape - HIIT Bootcamp - 60 min - Strength / Cardio / Agility,https://www.eventbrite.de/e/get-in-shape-hiit-bootcamp-60-min-strength-cardio-agility-tickets-557715801977,DE,Berlin,BE,Paul-Heyse-Straße,10247,52.5313883,13.4505944,Berlin Outdoor Sports (Outdoor Fitness Bootcamp)
5,18,2023-06-14,2023-06-14,unpacking 5 | Wie wird ein Nachlass erfasst?,https://www.eventbrite.de/e/unpacking-5-wie-wird-ein-nachlass-erfasst-tickets-536028504687,DE,Berlin,BE,Knesebeckstraße 1,10623,52.5107335,13.3227844,the temporary bauhaus-archiv
6,18,2023-09-22,2023-09-23,GERMAN BEATBOX CHAMPIONSHIP 2023,https://www.eventbrite.de/e/german-beatbox-championship-2023-tickets-538537328647,DE,Berlin,BE,Columbiadamm 9-11,10965,52.48455260000001,13.3914449,Columbia Theater
7,18,2023-06-07,2023-06-07,Midweek Crisis: Open-Air Stand-Up Comedy Show in English,https://www.eventbrite.de/e/midweek-crisis-open-air-stand-up-comedy-show-in-english-tickets-641428829897,DE,Berlin,Berlin,Am Sudhaus 3,12053,52.47857399999999,13.4308084,Babette’s Garden
8,18,2023-06-11,2023-06-11,Charlies Gray (look & learn+hands on),https://www.eventbrite.co.uk/e/charlies-gray-look-learnhands-on-tickets-614040029257,DE,Berlin,BE,Rosenthaler Straße 72A,10119,52.5295156,13.40191,Co Barbers
9,18,2023-06-19,2023-06-19,Meet the Machines: Onboarding Session at FabLab Neukölln,https://www.eventbrite.de/e/meet-the-machines-onboarding-session-at-fablab-neukolln-tickets-579291024047,DE,Berlin,Berlin,Harzer Straße 39,12059,52.4846099,13.4495898,FabLab Neukölln
10,18,2023-07-14,2023-07-16,"MY PEOPLE FEST 2023 -  July 14th, 15th & 16th",https://www.eventbrite.de/e/my-people-fest-2023-july-14th-15th-16th-tickets-559856093647,DE,Berlin,BE,Alt-Stralau 1-2,10245,52.49704879999999,13.4650844,OST Hafen Berlin
11,18,2023-06-15,2023-06-15,"Re:Connect - Trauma, Verbindung & das Nervensystem",https://www.eventbrite.de/e/reconnect-trauma-verbindung-das-nervensystem-tickets-642386263607,DE,Berlin,BE,Milastraße 4,10437,52.54552169999999,13.4108101,Life Artists Creators Hub
12,18,2023-06-22,2023-06-22,Date Deficient - Vegan Dating Night,https://www.eventbrite.de/e/date-deficient-vegan-dating-night-tickets-646881759757,DE,Berlin,Berlin,Prenzlauer Allee 208,10405,52.53684870000001,13.422434500000008,Plant Base
13,18,2023-06-25,2023-06-25,SUMMERSPECIAL im KAOS,https://www.eventbrite.de/e/summerspecial-im-kaos-tickets-634875518767,DE,Berlin,BE,Wilhelminenhofstraße 92,12459,52.4622799,13.50901,KAOS Berlin
14,18,2023-06-20,2023-06-20,"IT UA Talk #5: ""Innovation - how to co-create new ideas""",https://www.eventbrite.de/e/it-ua-talk-5-innovation-how-to-co-create-new-ideas-tickets-641155863447,DE,Berlin,BE,Stralauer Allee 12,10245,52.4983707,13.4599793,Stralauer Allee 12
15,18,2023-06-08,2023-06-08,Die Leichteste Afterwork-Party im Juni,https://www.eventbrite.com/e/die-leichteste-afterwork-party-im-juni-tickets-645923744307,DE,Berlin,Berlin,Yorckstraße 27,10969,52.4922043,13.378488,Ampler Bikes Showroom & Testcenter
16,18,2023-07-04,2023-07-04,Tarrus Riley feat. Dean Fraser & Blak Soil Band,https://www.eventbrite.de/e/tarrus-riley-feat-dean-fraser-blak-soil-band-tickets-633666322027,DE,Berlin,BE,Cuvrystraße 7,10997,52.4992002,13.445068,Lido
17,18,2023-06-26,2023-06-26,Speed Networking for Life Sciences Tech Professionals @ Denizen House,https://www.eventbrite.ie/e/speed-networking-for-life-sciences-tech-professionals-denizen-house-tickets-634634588137,DE,Berlin,BE,Köpenicker Straße 40,10179,52.5087601,13.4254339,Denizen
18,18,2023-06-24,2023-06-25,THE UPBEATS,https://www.eventbrite.de/e/the-upbeats-tickets-580438084937,DE,Berlin,Berlin,Wiesenweg 5-9,10365,52.5074312,13.476009500000032,VOID Hall
19,18,2023-06-21,2023-06-21,Workshop - Introduction to wire-feed MIG/MAG metal welding,https://www.eventbrite.de/e/workshop-introduction-to-wire-feed-migmag-metal-welding-tickets-638012110397,DE,Berlin,Berlin,Bouchéstraße 12,12435,52.4936476,13.448235,MotionLab.Berlin
