,page,startDate,endDate,name,url,addressCountry,addressLocality,addressRegion,streetAddress,postalCode,latitude,longitude,locationName
0,30,2023-06-10,2023-06-10,Georgian natural wine tasting 4 @ Natural Selection Berlin,https://www.eventbrite.com/e/georgian-natural-wine-tasting-4-natural-selection-berlin-tickets-640377715987,DE,Berlin,BE,Wrangelstraße 54,10997,52.49818,13.4423599,Natural Selection Berlin
1,30,2023-06-27,2023-06-27,BdKEP Mitgliederversammlung 2023,https://www.eventbrite.de/e/bdkep-mitgliederversammlung-2023-tickets-530530409737,DE,Berlin,BE,An der Industriebahn 12,13088,52.5633154,13.461309,Motorwerk
2,30,2023-07-14,2023-07-14,CASHFLOW SQUAD Berlin-Mitte - Finanzielle Intelligenz durch CASHFLOW101®,https://www.eventbrite.de/e/cashflow-squad-berlin-mitte-finanzielle-intelligenz-durch-cashflow101-tickets-479865609957,DE,Berlin,,Wattstraße 5,13355,52.4640415,13.5107775,VikiHaus
3,30,2023-06-24,2023-06-24,An der frischen Luft @ Erkner,https://www.eventbrite.de/e/an-der-frischen-luft-erkner-tickets-618941730377,DE,Erkner,BB,Am Dämeritzsee 1,15537,52.4254,13.7440319,Am Dämeritzsee 1
4,30,2023-06-28,2023-06-28,SLIM CESSNA’S AUTO CLUB,https://www.eventbrite.de/e/slim-cessnas-auto-club-tickets-488534187907,DE,Berlin,Berlin,Revaler Strasse 99,10245,52.5069078,13.4564597,Badehaus Berlin
5,30,2023-07-21,2023-07-21,Mallorca Party - goes Boat! ,https://www.eventbrite.com/e/mallorca-party-goes-boat-tickets-640092884047,DE,Berlin,BE,Puschkinallee 15,12435,52.493215,13.4652757,Puschkinallee 15
6,30,2023-06-23,2023-06-24,Aftershow Party Fontane Gymnasium 2023,https://www.eventbrite.de/e/aftershow-party-fontane-gymnasium-2023-tickets-639426841897,DE,Berlin,Berlin,Wiebestr. 42,10553,52.52798,13.31894,Loewe Saal
7,30,2023-06-08,2023-06-08,Kiss Kiss Bang Bang: Dirty English Stand-up Comedy + Gambian Food,https://www.eventbrite.de/e/kiss-kiss-bang-bang-dirty-english-stand-up-comedy-gambian-food-tickets-639814340917,DE,Berlin,BE,Lenaustraße 5,12047,52.489965,13.4253747,Göttin der Weisheit
8,30,2023-06-23,2023-06-23,projo summer summit 2023,https://www.eventbrite.de/e/projo-summer-summit-2023-tickets-558107934857,DE,Berlin,BE,Invalidenstraße 3,10115,52.5331269,13.3972411,St.-Elisabeth-Kirche - Ev. Kirchengemeinde am Weinberg
9,30,2023-06-08,2023-06-08,MAMAS BOY (An American Standup Comedy One Man Show),https://www.eventbrite.com/e/mamas-boy-an-american-standup-comedy-one-man-show-tickets-632756300127,DE,Berlin,BE,Kurfürstenstraße 9,10785,52.4992295,13.3674642,Kara Kas Bar
10,30,2023-06-13,2023-06-14,Far Out - Ü30 After Work by Radio Paradiso,https://www.eventbrite.de/e/far-out-u30-after-work-by-radio-paradiso-tickets-412893614917,DE,Berlin,BE,Joachimsthaler Straße 15,10719,52.5020624,13.3308349,MAXXIM CLUB BERLIN
11,30,2023-06-23,2023-06-23,Dirty Talk Magic,https://www.eventbrite.com/e/dirty-talk-magic-tickets-645271322897,DE,Berlin,BE,Gustav-Adolf-Straße 15,13086,52.5533845,13.4344582,Embodiment Center
12,30,2023-06-10,2023-06-10,Breathwork & Icebath Workshop | by Joel Sartras,https://www.eventbrite.de/e/breathwork-icebath-workshop-by-joel-sartras-tickets-623575841127,DE,Berlin,BE,Christburger Straße,10405,52.5357904,13.427074,Christburger Straße
13,30,2023-06-10,2023-06-10,Discover the history about the African Quarter from a NEW perspective!,https://www.eventbrite.de/e/discover-the-history-about-the-african-quarter-from-a-new-perspective-tickets-594113087237,DE,Berlin,BE,Müllerstrasse 90,13349,52.56057509999999,13.3336495,Afrikanisches Viertel
14,30,2023-06-06,2023-06-06,Die Rickenbackers Rock & Blues Session,https://www.eventbrite.de/e/die-rickenbackers-rock-blues-session-tickets-595757916967,DE,Berlin,BE,Kaiser-Friedrich-Straße 67,10627,52.509285,13.30231,ART Stalker - Kunst + Bar + Events
15,30,2023-06-30,2023-07-01,Aftershow Party evangelisches Gymnasium zum grauen Kloster 2023,https://www.eventbrite.de/e/aftershow-party-evangelisches-gymnasium-zum-grauen-kloster-2023-tickets-639421385577,DE,Berlin,BE,Flohrstraße 19,13507,52.574529,13.2985448,Tek Dream Event
16,30,2023-06-10,2023-06-10,Integration and engagement for expats and their family members,https://www.eventbrite.com/e/integration-and-engagement-for-expats-and-their-family-members-tickets-627927777887,DE,Berlin,BE,Rollbergstraße 30,12053,52.4798925,13.4319982,Cafe Praxis
17,30,2023-06-09,2023-06-10,Fianchetto Friday,https://www.eventbrite.de/e/fianchetto-friday-tickets-504049143557,DE,Berlin,BE,Schönhauser Allee 185,10119,52.5295752,13.4097738,StrangerChess
18,30,2023-06-12,2023-06-13,Minor Piece Mondays,https://www.eventbrite.de/e/minor-piece-mondays-tickets-504051289977,DE,Berlin,BE,Schönhauser Allee 185,10119,52.5295752,13.4097738,StrangerChess
19,30,2023-06-08,2023-06-08,Urban Hosts,https://www.eventbrite.ie/e/urban-hosts-tickets-649003716587,DE,Berlin,Berlin,"34A, Weichsel Str,",10247,52.5135,13.47086999999999,"34A, Weichsel Str, 10247, Berlin"
