,page,startDate,endDate,name,url,addressCountry,addressLocality,addressRegion,streetAddress,postalCode,latitude,longitude,locationName
0,45,2023-06-20,2023-06-20,Psychologische Sicherheit im Team,https://www.eventbrite.de/e/psychologische-sicherheit-im-team-tickets-648986294477,DE,Berlin,BE,Karl-Marx-Straße 12,12043,52.485339,13.425923,INNOKI – Innovationsberatung
1,45,2023-06-23,2023-06-23,Poly Speed Dating,https://www.eventbrite.com/e/poly-speed-dating-tickets-645311342597,DE,Berlin,BE,Gustav-Adolf-Straße 15,13086,52.5533845,13.4344582,Embodiment Center
2,45,2023-07-06,2023-07-06,"Weinhopping PLUS Berlin, 06.07.2023",https://www.eventbrite.de/e/weinhopping-plus-berlin-06072023-tickets-516573855307,DE,Berlin,BE,Die genauen Locations werden per E-Mail mitgeteilt,10119,52.530741,13.4058114,Berlin
3,45,2023-06-18,2023-06-18,Artist Talk#4 Christoph Kühl,https://www.eventbrite.de/e/artist-talk4-christoph-kuhl-tickets-646828500457,DE,Berlin,BE,Lehderstraße 74,13086,52.55074999999999,13.43624,Kühlspot Social Club
4,45,2023-06-11,2023-06-11,Soap Making Workshop: Rose Soap,https://www.eventbrite.com/e/soap-making-workshop-rose-soap-tickets-640431055527,DE,Berlin,BE,Volkmarstraße 1,12099,52.4544593,13.3986447,Volkmarstraße 1
5,45,2023-06-10,2023-06-11,"TRI:CEPTION (Psytrance, Techno, House) - 3 floors",https://www.eventbrite.de/e/triception-psytrance-techno-house-3-floors-tickets-643885668367,DE,Berlin,BE,Wiesenweg 5-9,10365,52.5074193,13.4763583,VOID Club & Hall
6,45,2023-06-12,2023-06-13,HINNI & FRIENDS,https://www.eventbrite.de/e/hinni-friends-tickets-643629732857,DE,Berlin,BE,Müggelstraße 9,10247,52.51201479999999,13.470691,Bar Bobu
7,45,2023-06-07,2023-06-07,Immersive Veranstaltungstechnik (Steinberg Nuendo),https://www.eventbrite.de/e/immersive-veranstaltungstechnik-steinberg-nuendo-registrierung-634759100557,DE,Berlin,,Lützowstraße 102-104,10785,52.5019573,13.3684692,Audiowerk Berlin
8,45,2023-06-24,2023-06-24,Weekend Monkeys Comedy,https://www.eventbrite.de/e/weekend-monkeys-comedy-tickets-647924197717,DE,Berlin,Berlin,Danziger Str. 1,10435,52.54172089999999,13.4121977,Mad Monkey Room
9,45,2023-06-16,2023-06-17,GlogauAIR OPEN STUDIOS // 16-17 June 2023,https://www.eventbrite.com/e/glogauair-open-studios-16-17-june-2023-tickets-648056553597,DE,Berlin,BE,Glogauer Straße 16,10999,52.4922613,13.4359253,GlogauAir gGmbH
10,45,2023-06-17,2023-06-17,networkx x POLO & Lifestyle Awards/ Day 2 German Low Goal Polo Championship,https://www.eventbrite.co.uk/e/networkx-x-polo-lifestyle-awards-day-2-german-low-goal-polo-championship-tickets-642794695237,DE,Dallgow-Döberitz,BB,Seeburger Chaussee 1,14624,52.5162725,13.1151681,Dallgow-Döberitz
11,45,2023-07-01,2023-07-01,A conversation with K.I.T.T.: GPT Prompting Hackathon,https://www.eventbrite.de/e/a-conversation-with-kitt-gpt-prompting-hackathon-tickets-643104100677,DE,Berlin,,Mariendorfer Damm 1,12099,52.45360789999999,13.384797100000014,The Drivery
12,45,2023-07-05,2023-07-06,Aftershow Party Ostrom Humboldt Oberschule 2023,https://www.eventbrite.de/e/aftershow-party-ostrom-humboldt-oberschule-2023-tickets-635287862097,DE,Berlin,Berlin,Columbiadamm 13-21,10965,52.48464999999999,13.39221,Columbiahalle
13,45,2023-07-05,2023-07-06,Aftershow Party Marie Curie Gymnasium Hohen Neuendorf 2023,https://www.eventbrite.de/e/aftershow-party-marie-curie-gymnasium-hohen-neuendorf-2023-tickets-639356942827,DE,Berlin,Berlin,Wiebestr. 42,10553,52.52798,13.31894,Loewe Saal
14,45,2023-06-23,2023-06-23,Social Insurance in Germany,https://www.eventbrite.com/e/social-insurance-in-germany-tickets-615572292297,DE,Berlin,BE,Mariannenplatz 2,10997,52.50389980000001,13.4242629,Kunstquartier Bethanien
15,45,2023-06-25,2023-06-25,"*SPECIAL* Stand-up Comedy • F-Hain • 20 Uhr | ""Und...Bitte!""",https://www.eventbrite.de/e/special-stand-up-comedy-f-hain-20-uhr-undbitte-tickets-648781301337,DE,Berlin,Berlin,Grünberger Straße 84,10245,52.51094,13.4613273,The Wall Comedy
16,45,2023-07-07,2023-07-08,Aftershow Party Carl Bechstein Gymnasium Erkner 2023,https://www.eventbrite.de/e/aftershow-party-carl-bechstein-gymnasium-erkner-2023-tickets-639377153277,DE,Berlin,Berlin,Wiebestr. 42,10553,52.52798,13.31894,Loewe Saal
17,45,2023-06-24,2023-06-24,Casino Comedy - Stand Up Comedy in English,https://www.eventbrite.co.uk/e/casino-comedy-stand-up-comedy-in-english-tickets-641944682827,DE,Berlin,BE,Grünberger Straße 84,10245,52.5109095,13.4613414,The Wall Comedy
18,45,2023-06-15,2023-06-15,Fischermanns Orchestra + Berlin Jazz Composers Orchestra JayJayBeCe,https://www.eventbrite.de/e/fischermanns-orchestra-berlin-jazz-composers-orchestra-jayjaybece-tickets-645411752927,DE,Berlin,BE,Hasselwerderstraße 22A,12439,52.4575195,13.5166003,"""Alte Kita"""
19,45,2023-06-17,2023-06-18,EXPEDICION⁴ | TECHNO - PSYTRANCE - DRUM & BASS,https://www.eventbrite.de/e/expedicion4-techno-psytrance-drum-bass-tickets-645539083777,DE,Berlin,Berlin,Wiesenweg 5-9,10365,52.5074312,13.476009500000032,VOID Club & Hall
