page,startDate,endDate,name,url,addressCountry,addressLocality,addressRegion,streetAddress,postalCode,latitude,longitude,locationName,id
20,2023-06-14,2023-06-14,Basic Video Editing - Campus Berlin,https://www.eventbrite.co.uk/e/basic-video-editing-campus-berlin-tickets-626323038067,DE,Berlin,BE,Cuvrystraße 4,10997.0,52.4999974,13.4459132,SAE Institute Berlin,626323038067
20,2023-06-23,2023-06-23,"Eat, drink & be PPositive: Master Semesterabschluss",https://www.eventbrite.de/e/eat-drink-be-ppositive-master-semesterabschluss-tickets-623494126717,DE,Berlin,BE,Franklinstraße 28-29,10587.0,52.518341,13.3251724,Deutsche Hochschule für Gesundheit und Sport,623494126717
20,2023-06-08,2023-06-08,Digitale Sprachassistenten in der Hotellerie,https://www.eventbrite.de/e/digitale-sprachassistenten-in-der-hotellerie-tickets-636444070347,DE,Berlin,BE,Oranienplatz 4 Berlin,10969.0,52.5021348,13.4145275,SIBB e. V. Startup Accelerator,636444070347
20,2023-06-10,2023-06-10,Wim Hof Breathwork x Icebath |  Rooftop Garden Mitte,https://www.eventbrite.de/e/wim-hof-breathwork-x-icebath-rooftop-garden-mitte-tickets-623585891187,DE,Berlin,BE,Christburger Straße,10405.0,52.5357904,13.427074,Christburger Straße 18,623585891187
20,2023-06-14,2023-06-14,Brot + Spiele - Leseshow,https://www.eventbrite.de/e/brot-spiele-leseshow-tickets-546402353147,DE,Berlin,BE,Kaiser-Friedrich-Straße 67,10627.0,52.509285,13.30231,ART Stalker - Kunst + Bar + Events,546402353147
20,2023-06-08,2023-06-08,Women in Sales Network - Breakfast Club Berlin - presented by ADYEN,https://www.eventbrite.com/e/women-in-sales-network-breakfast-club-berlin-presented-by-adyen-tickets-638045099067,DE,Berlin,BE,Mohrenstraße 17,10117.0,52.5119743,13.389979,Adyen Berlin,638045099067
20,2023-07-05,2023-07-05,Berlink #3 - Savoir pitcher ses talents,https://www.eventbrite.de/e/billets-berlink-3-savoir-pitcher-ses-talents-629857319197,DE,Berlin,BE,Haasestraße 1,10245.0,52.5066409,13.46165,Haasestraße 1,629857319197
34,2023-06-29,2023-06-29,Innovation im zirkulären Wirtschaften: Das Haus der Materialisierung,https://www.eventbrite.de/e/innovation-im-zirkularen-wirtschaften-das-haus-der-materialisierung-tickets-637925170357,DE,Berlin,BE,Berolinastraße,10178,52.52336599999999,13.4202705,Haus der Materialisierung,637925170357
34,2023-06-07,2023-06-07,CAMPUS MARZAHN: Coworking Day Pass - MotionLab.Berlin,https://www.eventbrite.de/e/campus-marzahn-coworking-day-pass-motionlabberlin-registration-636481753057,DE,Berlin,BE,Schwarze-Pumpe-Weg 16,12681,52.5486003,13.5331698,MotionLab.Berlin | Marzahn,636481753057
34,2023-06-06,2023-06-07,rock the church now,https://www.eventbrite.com/e/rock-the-church-now-tickets-628685935557,DE,Berlin,BE,Kaiser-Wilhelm-Straße 29,12247,52.4314717,13.3377024,PVIEW Billard & Events,628685935557
34,2023-06-27,2023-06-28,Aftershow Party Max Delbrück Gymnasium 2023,https://www.eventbrite.de/e/aftershow-party-max-delbruck-gymnasium-2023-tickets-639362168457,DE,Berlin,Berlin,Wiebestr. 42,10553,52.52798,13.31894,Loewe Saal,639362168457
34,2023-06-30,2023-06-30,Introduction to Automotive Cybersecurity Regulation and Standards,https://www.eventbrite.de/e/introduction-to-automotive-cybersecurity-regulation-and-standards-tickets-648752575417,DE,Berlin,,Mariendorfer Damm 1,12099,52.45360789999999,13.384797100000014,The Drivery,648752575417
